Word,Query,alex-marquez--valentino-rossi-dkk-tahu-kecurangan-yamaha,link-live-streaming-barcelona-vs-real-betis-kick-off-22,leeds-united-korban-keputusan-terburuk-sepanjang-sejarah-sepak-bola-,dani-alves-menyesal-pernah-perkuat-juventus,hasil-barcelona-vs-real-betis-dwigol-messi-ikut-hancurkan-tim-tamu,link-live-streaming-everton-vs-man-united-kick-off-19,bilang-messi-sulit-diatur-setien-diserang-legenda-barcelona,respons-dovizioso-saat-tahu-rossi-cs-luput-dari-sanksi-penalti,jadwal-motogp-eropa-balapan-dimulai-tepat-pukul-20,hasil-kualifikasi-motogp-eropa-pol-espargaro-pole-position-yamaha-merana
berpeluang,0,0,1,0,0,0,0,0,0,0,0
menembu,0,0,1,0,0,0,0,0,0,0,1
besar,0,0,1,0,0,0,0,0,0,1,1
jika,0,0,1,0,0,0,0,2,0,0,0
mampu,0,0,1,0,0,0,0,1,0,0,0
mengakhiri,0,0,1,0,0,0,0,0,0,0,0
kontra,0,0,1,2,0,0,0,0,0,0,0
terancam,0,0,1,0,0,0,0,0,0,0,0
rawan,0,0,1,0,0,0,0,0,0,0,0
ulangi,0,0,1,0,0,0,0,0,0,0,0
dosa,0,0,1,0,0,0,0,0,0,0,0
pendahulu,0,0,1,0,0,0,0,0,0,0,0
dalam,0,0,1,0,2,3,1,3,0,0,0
upaya,0,0,1,0,0,0,0,0,0,0,0
menuntaskan,0,0,1,0,0,0,0,0,0,0,0
tersebut,0,0,1,1,0,2,0,2,3,0,1
mengaku,0,0,1,0,0,0,0,0,0,0,0
tak,0,0,1,3,0,2,0,0,3,0,0
terpengaruh,0,0,1,0,0,0,0,0,1,0,0
tren,0,0,1,0,0,0,0,0,0,0,0
buruk,0,0,1,0,0,0,0,0,0,1,1
leed,0,0,0,4,0,0,0,0,0,0,0
unit,0,0,0,4,0,0,15,0,0,0,0
dikatakan,0,0,0,1,0,0,0,1,0,0,0
menjadi,0,0,0,1,1,0,0,0,0,1,1
korban,0,0,0,1,0,0,0,0,0,0,0
keputusan,0,0,0,5,1,0,0,0,2,0,0
terburuk,0,0,0,3,2,0,0,0,0,0,0
sepanjang,0,0,0,2,0,0,0,0,0,0,0
sejarah,0,0,0,2,0,0,0,0,0,0,0
sepak,0,0,0,2,1,0,0,0,0,0,0
bola,0,0,0,3,0,2,0,0,0,0,0
inggri,0,0,0,3,0,0,3,0,0,0,0
crystal,0,0,0,3,0,0,0,0,0,0,0
palac,0,0,0,3,0,0,0,0,0,0,0
dimaksud,0,0,0,1,0,0,0,0,0,0,0
var,0,0,0,5,0,0,0,0,0,0,0
menganulir,0,0,0,2,0,0,0,0,0,0,0
gol,0,0,0,3,0,5,0,0,0,0,0
penyama,0,0,0,1,0,0,0,0,0,0,0
kedudukan,0,0,0,1,0,0,0,0,0,0,0
penyerang,0,0,0,3,0,0,0,0,0,0,0
patrick,0,0,0,2,0,0,0,0,0,0,0
bamford,0,0,0,3,0,0,0,0,0,0,0
hanya,0,0,0,1,1,0,0,0,1,0,0
ia,0,0,0,3,0,0,0,0,0,0,0
mengeluarkan,0,0,0,1,0,0,0,0,0,0,0
tangannya,0,0,0,1,0,0,0,0,0,0,0
untuk,0,0,0,2,2,1,0,1,0,0,0
menunjuk,0,0,0,1,0,0,0,0,0,0,0
mana,0,0,0,1,0,0,0,0,0,0,0
meminta,0,0,0,1,0,0,0,0,0,0,0
beruntung,0,0,0,1,0,0,0,0,0,0,0
berusia,0,0,0,1,0,0,0,0,0,0,0
tahun,0,0,0,1,1,0,0,2,0,0,0
langsung,0,0,0,1,0,0,0,0,0,0,0
mendapat,0,0,0,1,0,1,0,1,1,0,0
kesempatan,0,0,0,1,0,1,0,1,0,0,0
lama,0,0,0,1,0,0,0,1,0,0,0
kemudian,0,0,0,1,0,0,0,0,1,0,0
berhasil,0,0,0,1,0,0,0,0,0,0,1
menjebol,0,0,0,1,0,0,0,0,0,0,0
gawang,0,0,0,1,0,1,0,0,0,0,0
sayang,0,0,0,1,0,0,0,0,0,0,0
tetap,0,0,0,1,0,0,0,0,1,0,0
haru,0,0,0,1,0,0,0,0,0,0,1
pulang,0,0,0,1,0,0,0,0,0,0,0
nihil,0,0,0,1,0,0,0,0,0,0,0
setelah,0,0,0,1,1,0,0,0,0,0,1
menelan,0,0,0,1,0,0,2,0,0,0,0
dortmund,0,0,0,1,0,0,0,0,0,0,0
fc,0,0,0,1,0,0,0,0,0,0,0
bayern,0,0,0,1,0,0,0,0,0,0,0
tercipta,0,0,0,1,0,0,0,0,0,0,0
der,0,0,0,1,0,0,0,0,0,0,0
klassik,0,0,0,1,0,0,0,0,0,0,0
dramati,0,0,0,1,0,0,0,0,0,0,0
pandit,0,0,0,1,0,0,0,0,0,0,0
bt,0,0,0,1,0,0,0,0,0,0,0
mantan,0,0,0,3,0,0,0,1,0,0,0
gelandang,0,0,0,2,0,0,0,0,0,0,0
timna,0,0,0,2,0,0,0,0,0,0,0
wale,0,0,0,1,0,0,0,0,0,0,0
robbi,0,0,0,1,0,0,0,0,0,0,0
savag,0,0,0,2,0,0,0,0,0,0,0
mengutarakan,0,0,0,3,0,0,0,0,0,0,0
kekecewaannya,0,0,0,1,0,0,0,0,0,0,0
terhadap,0,0,0,1,0,0,0,0,0,0,0
hal,0,0,0,1,0,0,0,2,3,0,0
pernah,0,0,0,1,0,0,0,0,0,0,0
saya,0,0,0,2,0,0,0,1,6,0,0
lihat,0,0,0,1,0,0,0,0,0,0,0
ujar,0,0,0,1,0,0,0,0,0,0,0
bbc,0,0,0,2,0,0,0,0,0,0,0
sementara,0,0,0,2,0,1,1,0,0,0,2
striker,0,0,0,1,0,0,0,0,0,0,0
serta,0,0,0,1,0,0,0,0,0,0,0
host,0,0,0,1,0,0,0,0,0,0,0
acara,0,0,0,1,0,0,0,0,0,0,0
match,0,0,0,1,0,0,0,0,0,0,0
day,0,0,0,1,0,0,0,0,0,0,0
gari,0,0,0,1,0,0,0,0,0,0,0
linek,0,0,0,1,0,0,0,0,0,0,0
penerapan,0,0,0,1,0,0,0,0,0,0,0
peraturan,0,0,0,1,0,0,0,0,0,0,0
masalah,0,0,0,1,0,0,0,0,0,0,0
absurd,0,0,0,1,0,0,0,0,0,0,0
konyol,0,0,0,1,0,0,0,0,0,0,0
terbaru,0,0,0,1,0,0,0,0,0,0,0
ujarnya,0,0,0,1,0,0,0,0,0,0,0
suka,0,0,0,1,0,0,0,0,0,0,0
implementasi,0,0,0,1,0,0,0,0,0,0,0
hukum,0,0,0,1,0,0,0,0,0,0,0
offsid,0,0,0,1,0,0,0,0,0,0,0
afp,0,0,0,1,0,0,0,0,0,0,0
naomi,0,0,0,1,0,0,0,0,0,0,0
baker,0,0,0,1,0,0,0,0,0,0,0
bereaksi,0,0,0,1,0,0,0,0,0,0,0
selhurst,0,0,0,1,0,0,0,0,0,0,0
park,0,0,0,1,0,0,1,0,0,0,0
london,0,0,0,1,0,0,0,0,0,0,0
tottenham,0,0,0,1,0,0,0,0,0,0,0
hotspur,0,0,0,1,0,0,0,0,0,0,0
jermain,0,0,0,1,0,0,0,0,0,0,0
jena,0,0,0,1,0,0,0,0,0,0,0
kalau,0,0,0,1,0,0,0,0,0,0,0
diterima,0,0,0,1,0,0,0,0,0,0,0
dani,0,0,0,0,4,0,0,0,0,0,0
alv,0,0,0,0,9,0,0,0,0,0,0
mengungkapkan,0,0,0,0,1,0,0,0,0,0,0
membela,0,0,0,0,1,0,0,0,0,0,0
juventu,0,0,0,0,5,0,0,0,0,0,0
momen,0,0,0,0,2,0,0,0,0,0,0
karier,0,0,0,0,1,0,0,0,0,0,0
bolanya,0,0,0,0,2,0,0,0,0,0,0
mengalami,0,0,0,0,1,0,0,0,0,0,0
puncak,0,0,0,0,1,0,0,0,0,2,0
kariernya,0,0,0,0,2,0,0,0,0,0,0
berseragam,0,0,0,0,1,0,0,0,0,0,0
medio,0,0,0,0,1,0,0,0,0,0,0
selama,0,0,0,0,2,0,0,1,0,0,0
menetap,0,0,0,0,1,0,0,0,0,0,0
asal,0,0,0,0,2,0,0,1,0,0,0
catalan,0,0,0,0,1,0,0,0,0,0,0
merasakan,0,0,0,0,1,0,0,0,0,0,0
berbagai,0,0,0,0,1,0,0,0,0,0,0
kesuksesan,0,0,0,0,1,0,0,0,0,0,0
pemain,0,0,0,0,2,1,0,3,0,0,0
brasil,0,0,0,0,1,0,0,0,0,0,0
memenangi,0,0,0,0,1,0,0,0,0,0,0
gelar,0,0,0,0,1,0,0,0,0,0,0
juara,0,0,0,0,1,0,0,0,0,0,0
trofi,0,0,0,0,1,0,0,0,0,0,0
champion,0,0,0,0,1,0,0,0,0,0,0
saran,0,0,0,0,1,0,0,0,0,0,0
sergino,0,0,0,0,1,0,0,0,0,0,0
dest,0,0,0,0,1,0,0,0,0,0,0
umpan,0,0,0,0,1,0,0,0,0,0,0
saja,0,0,0,0,1,0,0,0,0,0,0
kepada,0,0,0,0,1,0,1,0,0,0,1
messi,0,0,0,0,2,4,0,8,0,0,0
suks,0,0,0,0,1,0,0,0,0,0,0
bersama,0,0,0,0,1,0,0,0,0,0,0
memutuskan,0,0,0,0,1,0,0,0,0,0,0
pergi,0,0,0,0,1,0,0,0,0,0,0
seir,0,0,0,0,1,0,0,0,0,0,0
kontraknya,0,0,0,0,1,0,0,0,0,0,0
kedaluarsa,0,0,0,0,1,0,0,0,0,0,0
banyak,0,0,0,0,1,0,0,0,0,0,0
tawaran,0,0,0,0,1,0,0,0,0,0,0
top,0,0,0,0,1,0,0,0,0,0,0
ek,0,0,0,0,1,0,0,1,0,0,0
sevilla,0,0,0,0,1,0,0,0,0,0,0
memilih,0,0,0,0,2,0,0,0,0,0,0
dikontrak,0,0,0,0,1,0,0,0,0,0,0
opsi,0,0,0,0,1,0,0,0,0,0,0
perpanjangan,0,0,0,0,1,0,0,0,0,0,0
satu,0,0,0,0,1,0,3,0,0,1,0
tampaknya,0,0,0,0,1,0,0,0,0,0,0
bukan,0,0,0,0,1,0,0,0,0,0,0
langkah,0,0,0,0,1,0,0,0,0,0,0
bijak,0,0,0,0,1,0,0,0,0,0,0
ungkap,0,0,0,0,1,0,0,0,0,0,0
alasan,0,0,0,0,1,0,0,0,0,0,0
lionel,0,0,0,0,1,2,0,3,0,0,0
jadi,0,0,0,0,1,0,0,1,0,0,0
pembeda,0,0,0,0,1,0,0,0,0,0,0
pertandingan,0,0,0,0,1,3,1,0,0,0,0
dia,0,0,0,0,1,0,0,0,0,0,1
kesulitan,0,0,0,0,1,0,0,0,0,0,0
bertahan,0,0,0,0,1,0,0,0,0,0,0
semusim,0,0,0,0,1,0,0,0,0,0,0
turin,0,0,0,0,1,0,0,0,0,0,0
warisan,0,0,0,0,1,0,0,0,0,0,0
penampilan,0,0,0,0,1,0,0,0,0,0,0
pun,0,0,0,0,1,0,0,0,0,0,0
menyes,0,0,0,0,1,0,0,0,0,0,0
setahun,0,0,0,0,1,0,0,0,0,0,0
tujuh,0,0,0,0,0,1,1,0,0,0,0
terjadi,0,0,0,0,0,1,0,0,0,0,0
ajang,0,0,0,0,0,1,0,0,0,0,0
turut,0,0,0,0,0,1,0,0,0,0,0
menyumbang,0,0,0,0,0,1,0,0,0,0,0
berakhir,0,0,0,0,0,1,0,0,0,0,0
skor,0,0,0,0,0,1,1,0,0,0,0
tuan,0,0,0,0,0,1,1,0,0,0,0
rumah,0,0,0,0,0,1,1,0,0,0,0
usai,0,0,0,0,0,1,0,0,0,0,0
digelar,0,0,0,0,0,1,0,0,0,0,0
malam,0,0,0,0,0,1,1,0,0,1,1
lima,0,0,0,0,0,1,2,0,0,0,1
barca,0,0,0,0,0,2,0,0,0,0,0
dicetak,0,0,0,0,0,1,0,0,0,0,0
ousman,0,0,0,0,0,1,0,0,0,0,0
dembel,0,0,0,0,0,2,0,0,0,0,0
antoin,0,0,0,0,0,1,0,0,0,0,0
griezmann,0,0,0,0,0,1,0,0,0,0,0
p,0,0,0,0,0,1,0,0,0,0,0
pedri,0,0,0,0,0,1,0,0,0,0,0
tamu,0,0,0,0,0,1,0,0,0,0,0
diciptakan,0,0,0,0,0,1,0,0,0,0,0
antonio,0,0,0,0,0,1,0,0,0,0,0
sanabria,0,0,0,0,0,1,0,0,0,0,0
lorenzo,0,0,0,0,0,1,0,0,0,0,0
jesu,0,0,0,0,0,1,0,0,0,0,0
moron,0,0,0,0,0,1,0,0,0,0,0
garcia,0,0,0,0,0,1,0,0,0,0,0
awalnya,0,0,0,0,0,1,0,0,0,0,0
ada,0,0,0,0,0,1,0,2,3,0,0
daftar,0,0,0,0,0,1,0,0,0,0,0
mula,0,0,0,0,0,1,0,0,0,0,0
atau,0,0,0,0,0,1,1,0,0,0,0
starter,0,0,0,0,0,1,0,0,0,0,0
baru,0,0,0,0,0,2,0,0,0,0,0
memasukkannya,0,0,0,0,0,1,0,0,0,0,0
awal,0,0,0,0,0,2,0,1,0,0,0
babak,0,0,0,0,0,2,0,0,0,0,0
menggantikan,0,0,0,0,0,1,0,0,0,0,0
ansu,0,0,0,0,0,1,0,0,0,0,0
fati,0,0,0,0,0,1,0,0,0,0,0
jalannya,0,0,0,0,0,1,0,0,0,0,1
dapat,0,0,0,0,0,1,2,0,0,0,0
tepuk,0,0,0,0,0,1,0,0,0,0,0
tangan,0,0,0,0,0,1,0,0,0,0,0
tempo,0,0,0,0,0,1,0,0,0,0,0
permainan,0,0,0,0,0,1,0,0,0,0,0
begitu,0,0,0,0,0,2,0,0,0,0,0
cepat,0,0,0,0,0,1,0,0,0,0,0
keduanya,0,0,0,0,0,1,0,0,0,0,0
asyik,0,0,0,0,0,1,0,0,0,0,0
meraba,0,0,0,0,0,1,0,0,0,0,0
raba,0,0,0,0,0,1,0,0,0,0,0
kelemahan,0,0,0,0,0,1,0,0,0,0,0
lawan,0,0,0,0,0,1,0,0,0,0,0
memainkan,0,0,0,0,0,1,0,0,0,0,0
tengah,0,0,0,0,0,1,0,0,0,0,0
sekali,0,0,0,0,0,1,0,0,0,0,0
ingin,0,0,0,0,0,1,0,0,1,0,0
menyia,0,0,0,0,0,1,0,0,0,0,0
nyiakannya,0,0,0,0,0,1,0,0,0,0,0
hingga,0,0,0,0,0,1,0,1,0,0,0
menit,0,0,0,0,0,2,0,0,0,0,1
kalah,0,0,0,0,0,1,2,0,0,0,0
penguasaan,0,0,0,0,0,1,0,0,0,0,0
pertahanan,0,0,0,0,0,1,0,0,0,0,0
kuat,0,0,0,0,0,1,0,0,0,0,0
tembakan,0,0,0,0,0,1,0,0,0,0,0
mengarah,0,0,0,0,0,1,0,0,0,0,0
ketika,0,0,0,0,0,1,0,0,0,0,0
waktu,0,0,0,0,0,1,0,0,0,1,2
menunjukkan,0,0,0,0,0,1,0,0,0,0,0
kedelapan,0,0,0,0,0,0,1,0,0,0,0
premier,0,0,0,0,0,0,1,0,0,0,0
leagu,0,0,0,0,0,0,1,0,0,0,0
kompetisi,0,0,0,0,0,0,3,0,0,0,0
menyajikan,0,0,0,0,0,0,1,0,0,0,0
everton,0,0,0,0,0,0,14,0,0,0,0
manchest,0,0,0,0,0,0,2,0,0,0,0
man,0,0,0,0,0,0,13,0,0,0,0
dihelat,0,0,0,0,0,0,1,0,0,1,0
goodison,0,0,0,0,0,0,1,0,0,0,0
bentrok,0,0,0,0,0,0,1,0,0,0,0
link,0,0,0,0,0,0,2,0,0,1,0
akhir,0,0,0,0,0,0,1,0,0,1,0
artikel,0,0,0,0,0,0,1,0,0,1,0
jelang,0,0,0,0,0,0,1,0,0,0,0
sama,0,0,0,0,0,0,4,1,0,0,0
pincang,0,0,0,0,0,0,1,0,0,0,0
tepatnya,0,0,0,0,0,0,1,0,0,1,0
ketujuh,0,0,0,0,0,0,1,0,0,0,0
citi,0,0,0,0,0,0,1,0,0,0,0
liverpool,0,0,0,0,0,0,1,0,0,0,0
newcastl,0,0,0,0,0,0,1,0,0,0,0
marka,0,0,0,0,0,0,1,0,0,0,0
sendiri,0,0,0,0,0,0,1,0,1,0,0
arsen,0,0,0,0,0,0,1,0,0,0,0
toffe,0,0,0,0,0,0,1,0,0,0,0
julukan,0,0,0,0,0,0,1,0,0,0,0
menempati,0,0,0,0,0,0,1,0,0,0,3
koleksi,0,0,0,0,0,0,2,0,0,1,0
imbang,0,0,0,0,0,0,3,0,0,0,0
berada,0,0,0,0,0,0,1,0,0,0,1
terakhir,0,0,0,0,0,0,2,0,0,1,0
semua,0,0,0,0,0,0,2,0,0,0,0
mengema,0,0,0,0,0,0,1,0,0,0,0
solskjaer,0,0,0,0,0,0,1,0,0,0,0
soroti,0,0,0,0,0,0,1,0,0,0,0
mentalita,0,0,0,0,0,0,1,0,0,0,0
skuad,0,0,0,0,0,0,1,0,0,0,0
setan,0,0,0,0,0,0,2,0,0,0,0
merah,0,0,0,0,0,0,2,0,0,0,0
berikut,0,0,0,0,0,0,2,0,0,0,0
jangan,0,0,0,0,0,0,1,0,0,0,0
berharap,0,0,0,0,0,0,1,0,0,0,0
rashford,0,0,0,0,0,0,1,0,0,0,0
disiarkan,0,0,0,0,0,0,1,0,0,0,0
